model,accuracy,precision,recall,f1,roc_auc
KNN,0.8852459016393442,0.8620689655172413,0.8928571428571429,0.8771929824561403,0.9529220779220778
LogisticRegression,0.8852459016393442,0.8387096774193549,0.9285714285714286,0.8813559322033898,0.9664502164502166
SVC,0.8852459016393442,0.8387096774193549,0.9285714285714286,0.8813559322033898,0.9642857142857143
RandomForest,0.8688524590163934,0.8125,0.9285714285714286,0.8666666666666667,0.9426406926406926
XGBoost,0.8688524590163934,0.8125,0.9285714285714286,0.8666666666666667,0.945887445887446
