mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__min_samples_split,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.8629297733306884,0.025128408016679912,0.058232593536376956,0.012205104562583419,,2,100,"{'model__max_depth': None, 'model__min_samples_split': 2, 'model__n_estimators': 100}",0.16666666666666666,0.14173228346456693,0.183206106870229,0.12698412698412698,0.22388059701492538,0.168493956200103,0.033842929525302844,27
1.5561041355133056,0.1215836641194621,0.07195653915405273,0.008613916571376676,,2,200,"{'model__max_depth': None, 'model__min_samples_split': 2, 'model__n_estimators': 200}",0.16666666666666666,0.140625,0.16923076923076924,0.11290322580645161,0.2537313432835821,0.1686314009974939,0.047193659759169476,26
2.0801108837127686,0.09862652315116302,0.07957944869995118,0.009515300382011309,,2,300,"{'model__max_depth': None, 'model__min_samples_split': 2, 'model__n_estimators': 300}",0.16806722689075632,0.1875,0.1875,0.11382113821138211,0.24060150375939848,0.1794979737723074,0.04075736725537509,22
0.6740782260894775,0.039101676101341486,0.03975825309753418,0.0033747196079602507,,5,100,"{'model__max_depth': None, 'model__min_samples_split': 5, 'model__n_estimators': 100}",0.23255813953488372,0.15384615384615385,0.2,0.18439716312056736,0.2702702702702703,0.20821434535437505,0.04008538890744147,21
1.1947266578674316,0.0170835960201792,0.054043149948120116,0.00429721081386056,,5,200,"{'model__max_depth': None, 'model__min_samples_split': 5, 'model__n_estimators': 200}",0.20634920634920634,0.20689655172413793,0.2251655629139073,0.17142857142857143,0.3013698630136986,0.22224195108590433,0.04321998177050009,17
1.7647144794464111,0.030484373243046665,0.07525148391723632,0.006993715612838146,,5,300,"{'model__max_depth': None, 'model__min_samples_split': 5, 'model__n_estimators': 300}",0.2047244094488189,0.2097902097902098,0.22972972972972974,0.18439716312056736,0.3087248322147651,0.22747326886081817,0.04311069526579264,16
0.5737378597259521,0.027193739304456843,0.033243989944458006,0.004792499518514503,,10,100,"{'model__max_depth': None, 'model__min_samples_split': 10, 'model__n_estimators': 100}",0.31788079470198677,0.23668639053254437,0.23529411764705882,0.2732919254658385,0.3132530120481928,0.2752812480791243,0.03563444194901227,10
1.2085044384002686,0.04023729825162059,0.05451040267944336,0.005246256761321447,,10,200,"{'model__max_depth': None, 'model__min_samples_split': 10, 'model__n_estimators': 200}",0.3108108108108108,0.22485207100591717,0.24,0.25806451612903225,0.31137724550898205,0.26902092869094846,0.03592658372151242,12
1.7211499214172363,0.042748639281859756,0.07882232666015625,0.005817986099390832,,10,300,"{'model__max_depth': None, 'model__min_samples_split': 10, 'model__n_estimators': 300}",0.32051282051282054,0.21301775147928995,0.23391812865497075,0.25157232704402516,0.30409356725146197,0.2646229189885137,0.041128599732734694,13
0.5425384998321533,0.006432747889615024,0.03284964561462402,0.005838443261456986,10,2,100,"{'model__max_depth': 10, 'model__min_samples_split': 2, 'model__n_estimators': 100}",0.4,0.2653061224489796,0.297029702970297,0.3004694835680751,0.30917874396135264,0.3143968105897409,0.045300368174473485,9
1.0197659969329833,0.04650942837502277,0.05302743911743164,0.0021948919144769347,10,2,200,"{'model__max_depth': 10, 'model__min_samples_split': 2, 'model__n_estimators': 200}",0.3888888888888889,0.27692307692307694,0.2857142857142857,0.32558139534883723,0.3238095238095238,0.3201834341369225,0.039553272237540266,8
1.5747655868530273,0.04996901514738662,0.07516369819641114,0.005226035248972535,10,2,300,"{'model__max_depth': 10, 'model__min_samples_split': 2, 'model__n_estimators': 300}",0.391304347826087,0.2708333333333333,0.29,0.3076923076923077,0.34285714285714286,0.3205374263417742,0.04260083394531898,7
0.5636816024780273,0.021677485055863487,0.03598804473876953,0.0043457271922969,10,5,100,"{'model__max_depth': 10, 'model__min_samples_split': 5, 'model__n_estimators': 100}",0.40641711229946526,0.28,0.3349282296650718,0.34615384615384615,0.32432432432432434,0.3383647024885415,0.040760719574485675,4
1.113120937347412,0.019465774018179807,0.05861134529113769,0.006279969449601768,10,5,200,"{'model__max_depth': 10, 'model__min_samples_split': 5, 'model__n_estimators': 200}",0.3956043956043956,0.2727272727272727,0.3380281690140845,0.3333333333333333,0.3225806451612903,0.33245476316807526,0.03920352569825843,5
1.6667791843414306,0.028082568534949528,0.08089594841003418,0.006012968062755823,10,5,300,"{'model__max_depth': 10, 'model__min_samples_split': 5, 'model__n_estimators': 300}",0.3825136612021858,0.27692307692307694,0.3286384976525822,0.3286384976525822,0.31627906976744186,0.32659856063957377,0.03379043276221556,6
