model,accuracy,precision,recall,f1,roc_auc,selection_score
XGBoost,0.7159620991253645,0.6828126976097129,0.7953741897466117,0.7348077577407282,0.7964713131281875,0.7348077577407282
MLP,0.7257288629737609,0.7346052427485652,0.6977018267530937,0.7156781261805817,0.7935002742356849,0.7156781261805817
RandomForest,0.7274781341107872,0.7466429380359165,0.679876252209782,0.7116971239108643,0.7929709190312765,0.7116971239108643
KNN,0.7180029154518951,0.7291568535091851,0.6841484973482617,0.705936003648248,0.7786609125060653,0.705936003648248
LogisticRegression,0.7181486880466472,0.7432950191570882,0.6573364761343548,0.6976780548823391,0.7843644898281172,0.6976780548823391
SVC,0.5908892128279883,0.5529899882745558,0.9032115497937537,0.685986013986014,0.7408681047066867,0.685986013986014
