model,accuracy,precision,recall,f1,roc_auc
SVC,0.7441037735849056,0.26842105263157895,0.3953488372093023,0.31974921630094044,0.6740304686741921
KNN,0.6615566037735849,0.20955882352941177,0.4418604651162791,0.28428927680798005,0.6095352071675777
RandomForest,0.6544811320754716,0.24213836477987422,0.5968992248062015,0.34451901565995524,0.6634753264115751
LogisticRegression,0.5188679245283019,0.22376237623762377,0.875968992248062,0.35646687697160884,0.698763355651152
XGBoost,0.4658018867924528,0.18846153846153846,0.7596899224806202,0.3020030816640986,0.6361764293646429
